network,latitude,longitude
3.3.24.0/22,37,-122
3.30.0.0/15,46,-120
13.34.23.64/27,40,-83
13.34.32.0/27,37,-122
15.181.253.0/24,46,-120
15.197.0.0/23,35,114
18.34.0.0/19,39,-77
35.71.119.0/24,45,-74
43.249.47.0/24,35,114
52.46.188.48/30,46,-120
52.93.55.156/31,37,-122
54.226.0.0/15,39,-77
54.230.200.0/21,35,114
162.250.237.0/24,39,-77
3.112.0.0/14,36,140
3.144.0.0/13,40,-83
13.34.5.14/32,50,9
13.34.49.224/27,53,-6
52.46.191.24/31,39,-77
52.93.178.166/32,37,-122
52.94.128.0/22,46,-120
52.95.244.0/24,53,-6
64.187.128.0/20,39,-77
64.252.111.0/24,36,140
99.82.188.0/22,39,-77
172.96.110.0/24,40,-83
13.34.56.224/27,53,-6
15.230.18.0/24,39,-77
15.230.149.11/32,-34,151
18.231.0.0/16,-24,-47
43.224.79.136/31,39,-77
52.46.191.8/31,46,-120
52.93.127.201/32,39,-77
52.93.141.234/31,37,-122
52.94.152.182/32,-34,151
54.252.0.0/16,-34,151
120.253.240.192/26,35,114
150.222.3.182/32,1,104
150.222.28.142/31,-24,-47
150.222.79.0/24,39,-77
3.224.0.0/12,39,-77
13.34.40.160/27,53,-6
13.248.68.0/24,47,9
15.230.39.2/31,40,-83
35.71.104.0/24,25,55
35.71.117.0/24,37,-122
43.224.79.208/31,46,-120
52.93.50.162/31,39,-77
52.93.50.184/31,39,-77
52.93.229.149/32,52,0
52.93.240.178/31,46,-120
52.94.216.0/21,53,-6
52.144.192.192/26,39,-77
52.144.196.192/26,40,-83
54.221.0.0/16,39,-77
54.240.202.0/24,39,-77
54.255.0.0/16,1,104
150.222.230.106/31,50,9
13.34.45.224/27,35,114
15.230.72.0/26,40,-83
52.46.190.40/30,52,0
52.46.191.62/31,39,-77
52.93.34.126/31,37,-122
52.93.127.159/32,53,-6
52.93.141.220/31,37,-122
52.119.248.0/24,35,114
52.144.205.0/26,37,-122
99.77.56.0/21,36,140
142.4.160.40/29,39,-77
150.222.120.248/31,50,9
150.222.129.132/31,50,9
13.34.25.96/27,46,-120
15.228.0.0/15,-24,-47
15.230.14.18/31,39,-77
52.46.189.128/30,39,-77
52.46.189.192/30,46,-120
52.93.57.0/24,-34,18
52.93.127.254/32,36,140
52.95.63.0/24,39,-77
69.107.7.40/29,39,-77
142.4.160.8/29,39,-77
150.222.3.212/31,1,104
157.241.0.0/16,26,51
13.34.32.32/27,37,-122
13.34.40.192/27,53,-6
13.34.57.64/27,39,-77
15.181.112.0/22,39,-77
15.230.16.20/31,37,-122
15.230.189.128/25,52,0
16.12.15.0/24,52,0
43.224.79.50/31,39,-77
52.46.190.108/30,39,-77
52.46.191.216/31,39,-77
52.93.34.40/32,37,-122
52.93.126.215/32,39,-77
52.93.127.177/32,36,140
52.93.127.196/32,45,-74
52.93.127.217/32,39,-77
52.93.240.180/31,46,-120
52.94.249.208/28,17,78
54.233.0.0/18,-24,-47
68.66.112.0/20,39,-77
99.82.172.0/24,37,-122
99.151.120.0/21,37,-122
108.136.0.0/15,-6,107
116.129.226.128/26,35,114
150.222.82.0/24,-34,151
13.34.28.160/27,46,-120
13.34.35.0/27,25,55
13.34.38.0/27,42,-1
13.34.51.192/27,37,-122
18.34.72.0/21,40,-83
35.176.0.0/15,52,0
43.224.79.234/31,46,-120
52.93.193.195/32,45,-74
54.239.112.0/24,39,-77
70.224.192.0/18,46,-120
99.77.153.0/24,40,-83
150.222.105.0/24,36,140
161.188.136.0/23,39,-77
3.4.7.0/24,39,-77
13.34.5.80/32,50,9
13.34.43.160/27,40,-83
13.34.53.32/27,49,2
13.34.56.32/27,39,-77
13.34.61.32/27,39,-77
15.221.6.0/24,-24,-47
15.230.19.248/31,53,-6
15.230.79.64/26,45,-74
16.12.10.0/23,59,18
52.219.148.0/23,37,127
69.107.7.88/29,49,2
99.77.155.0/24,53,-6
150.222.3.176/32,1,104
150.222.252.250/31,37,-122
13.34.40.96/27,47,9
13.34.46.32/27,19,73
13.34.57.0/27,46,-120
15.230.67.0/26,37,-122
43.224.76.16/30,39,-77
43.224.79.82/31,52,0
52.46.189.220/30,46,-120
52.93.127.179/32,36,140
52.93.178.206/32,37,-122
52.93.178.230/32,37,-122
52.95.255.32/28,1,104
52.144.229.0/26,-34,151
130.176.0.0/17,35,114
150.222.11.84/31,53,-6
150.222.234.112/31,37,-122
150.222.234.128/31,37,-122
160.1.0.0/16,46,-120
3.5.128.0/22,40,-83
15.181.241.0/24,39,-77
15.230.21.0/24,45,-74
15.230.67.128/26,37,-122
18.216.0.0/14,40,-83
34.192.0.0/12,39,-77
43.224.76.108/30,39,-77
43.224.79.76/31,39,-77
43.224.79.214/31,39,-77
52.46.191.76/31,46,-120
52.93.37.222/32,37,-122
52.93.178.220/32,37,-122
52.94.64.0/22,45,-74
99.83.100.0/24,35,136
150.222.234.78/31,37,-122
3.104.0.0/14,-34,151
13.34.62.192/27,53,-6
15.193.5.0/24,52,0
15.197.16.0/23,35,114
15.230.39.24/31,40,-83
15.230.39.162/31,40,-83
15.230.184.0/24,39,-77
43.224.79.106/31,39,-77
52.46.188.176/30,39,-77
52.94.250.16/28,-38,145
52.95.216.0/22,39,-77
52.119.232.0/21,39,-77
52.144.201.128/26,45,-74
64.252.121.0/24,37,-122
99.150.32.0/21,-34,151
108.156.0.0/14,35,114
150.222.99.0/24,39,-77
150.222.218.0/24,39,-77
150.222.234.104/31,37,-122
175.41.128.0/18,1,104
176.32.125.250/31,39,-77
13.34.59.128/27,39,-77
15.230.39.194/31,40,-83
15.230.152.0/24,36,140
52.46.189.68/30,39,-77
52.93.127.167/32,39,-77
52.93.178.215/32,37,-122
54.239.108.0/22,39,-77
64.252.68.0/24,39,-77
150.222.133.0/24,36,140
161.188.130.0/23,39,-77
13.34.37.96/27,-38,145
15.230.193.0/24,39,-77
18.229.0.0/16,-24,-47
52.46.189.72/30,39,-77
52.93.50.148/31,39,-77
52.93.127.174/32,36,140
52.93.127.238/32,50,9
52.93.178.182/32,37,-122
52.94.68.0/24,39,-77
52.95.192.0/20,37,127
52.144.230.204/31,1,104
52.219.195.0/24,36,140
54.219.0.0/16,37,-122
150.222.28.122/31,-24,-47
3.32.0.0/16,46,-120
15.230.0.6/31,-24,-47
35.182.0.0/15,45,-74
43.224.76.24/30,52,0
43.224.77.44/30,39,-77
52.46.191.178/31,39,-77
52.93.122.255/32,37,-122
54.230.192.0/21,35,114
70.232.124.0/22,53,-6
99.77.191.0/24,39,-77
3.5.72.0/23,53,-6
13.34.26.0/27,46,-120
13.34.62.32/27,35,114
13.250.0.0/15,1,104
15.230.39.104/31,40,-83
43.224.79.80/31,39,-77
44.192.0.0/11,39,-77
52.46.189.132/30,39,-77
52.46.190.168/30,52,0
52.93.127.17/32,49,2
52.95.166.0/23,-38,145
52.144.216.2/31,59,18
150.222.208.66/31,-34,18
13.34.26.64/27,46,-120
13.34.58.32/27,17,78
15.230.39.136/31,40,-83
15.230.39.226/31,40,-83
15.251.0.10/32,39,-77
52.144.215.0/31,53,-6
52.144.215.196/31,59,18
54.240.236.78/32,45,9
64.252.102.0/24,1,104
64.252.108.0/24,-34,151
69.107.6.200/29,35,136
87.238.80.0/21,53,-6
99.77.156.0/24,52,0
161.188.140.0/23,39,-77
13.34.12.64/27,46,-120
13.34.46.192/27,36,140
13.34.60.224/27,39,-77
15.230.78.64/26,-34,151
52.46.191.2/31,39,-77
52.93.50.129/32,39,-77
52.93.178.147/32,37,-122
52.95.169.0/24,59,18
54.239.0.112/28,-34,151
54.239.8.0/21,39,-77
54.240.204.0/22,-34,151
99.86.0.0/16,35,114
150.222.203.0/24,59,18
207.171.176.0/20,39,-77
13.34.13.160/27,19,73
13.34.21.96/27,37,-122
15.168.0.0/16,35,136
15.230.14.252/31,39,-77
15.230.32.0/24,53,-6
15.230.39.192/31,40,-83
15.230.79.0/26,45,-74
43.224.77.184/30,52,0
52.46.189.160/30,39,-77
52.93.178.179/32,37,-122
54.240.236.18/32,45,9
99.77.138.0/24,45,9
150.222.5.0/24,50,9
150.222.120.62/31,50,9
162.250.238.0/23,39,-77
178.236.0.0/20,53,-6
3.5.152.0/21,36,140
13.34.37.160/27,-38,145
15.230.39.72/31,40,-83
18.224.0.0/14,40,-83
43.224.76.180/30,39,-77
43.224.79.74/31,39,-77
52.56.0.0/16,52,0
52.93.55.162/31,37,-122
52.93.92.74/31,37,-122
52.93.127.248/32,36,140
52.93.153.149/32,52,0
52.93.178.170/32,37,-122
52.93.178.223/32,37,-122
52.144.233.70/31,35,136
54.240.212.0/22,37,-122
54.245.0.0/16,46,-120
142.4.160.0/29,39,-77
150.222.100.0/24,39,-77
13.34.21.160/27,39,-77
13.34.24.64/27,17,78
13.34.33.64/27,50,9
13.34.48.192/27,53,-6
13.248.105.0/24,19,73
16.12.16.0/23,52,0
18.230.0.0/16,-24,-47
52.46.189.88/30,39,-77
52.46.190.188/31,46,-120
52.58.0.0/15,50,9
52.93.50.130/32,39,-77
52.93.121.195/32,36,140
52.93.127.25/32,53,-6
52.218.0.0/17,53,-6
150.222.176.0/22,46,-120
13.34.30.96/27,39,-77
13.34.40.128/27,53,-6
13.34.62.224/27,53,-6
13.248.0.0/20,35,136
15.230.39.174/31,40,-83
15.230.39.240/31,40,-83
52.93.127.219/32,39,-77
52.93.153.177/32,52,0
52.94.152.63/32,40,-83
52.95.29.0/26,40,-83
52.144.228.0/31,19,73
52.219.142.0/24,40,-83
99.77.152.0/24,46,-120
150.222.217.248/31,19,73
3.131.0.0/16,40,-83
13.34.29.96/27,39,-77
13.34.53.224/27,45,9
13.34.59.64/27,39,-77
13.34.63.0/27,35,114
15.230.39.158/31,40,-83
15.230.73.128/26,-24,-47
52.46.191.88/31,39,-77
52.46.191.236/31,46,-120
52.93.122.202/32,-24,-47
52.93.127.18/32,39,-77
52.93.127.195/32,1,104
52.219.0.0/20,36,140
54.240.248.0/21,46,-120
69.107.6.120/29,37,-122
150.222.208.74/31,-34,18
150.222.234.1/32,37,-122
176.32.125.252/31,39,-77
13.34.7.32/27,40,-83
15.230.133.26/31,1,104
52.46.189.100/30,39,-77
52.46.190.124/30,46,-120
52.93.178.130/32,37,-122
52.95.0.0/20,40,-83
150.222.234.5/32,37,-122
205.251.246.0/24,39,-77
3.96.0.0/15,45,-74
13.34.10.128/27,40,-83
15.230.197.0/24,-24,-47
43.224.79.190/31,39,-77
52.46.191.176/31,39,-77
52.93.127.108/32,1,104
52.93.178.157/32,37,-122
52.93.178.168/32,37,-122
52.94.32.0/20,52,0
54.216.0.0/15,53,-6
69.107.3.184/29,39,-77
150.222.3.232/31,1,104
150.222.122.106/31,50,9
150.222.234.6/31,37,-122
3.5.252.0/22,45,-74
13.34.18.192/27,-38,145
15.220.232.0/24,19,73
23.20.0.0/14,39,-77
52.46.168.0/23,39,-77
52.46.190.228/31,52,0
52.93.91.115/32,39,-77
52.93.151.0/24,-24,-47
52.94.248.80/28,36,140
64.252.64.0/24,39,-77
99.77.143.0/24,1,104
104.255.59.133/32,-38,145
3.4.1.0/24,39,-77
13.34.42.192/27,-24,-47
13.56.0.0/16,37,-122
15.230.39.4/31,40,-83
15.230.39.30/31,40,-83
15.251.0.28/32,32,35
18.184.0.0/15,50,9
52.46.190.212/31,46,-120
52.93.125.43/32,37,-122
52.93.127.131/32,19,73
52.93.178.185/32,37,-122
52.93.240.154/31,46,-120
54.240.236.45/32,45,9
72.21.192.0/19,39,-77
161.188.128.0/23,39,-77
205.251.200.0/21,35,114
13.34.13.32/27,39,-77
15.230.39.12/31,40,-83
15.230.39.242/31,40,-83
15.230.162.0/24,39,-77
35.160.0.0/13,46,-120
52.46.191.148/31,39,-77
52.48.0.0/14,53,-6
52.93.124.97/32,49,2
52.94.152.11/32,39,-77
